SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0,25,0,0,0,6,0,0,0,0
0,0,30,0,0,0,6,0,3,0,4
0,0,45,0,0,0,3,0,0,1,0
0,0,45,0,0,0,1,0,0,0,0
0,0,58,0,0,0,44,0,1,0,0
0,0,47,0,0,0,27,0,3,0,0
0,0,37,0,0,0,20,0,1,0,9
0,0,47,0,0,0,17,0,1,0,0
0,0,24,0,0,0,3,0,0,0,0
0,0,63,0,0,0,20,0,1,0,0
0,0,20,1,0,0,5,0,0,0,0
0,0,35,0,0,0,17,0,3,0,0
0,0,54,0,0,0,13,0,0,0,0
0,0,48,0,0,0,15,0,1,0,0
0,0,58,0,0,0,3,0,0,0,0
0,0,29,0,0,0,3,0,0,0,4
0,0,54,2,0,0,20,0,11,0,0
0,0,49,0,0,0,5,0,0,0,0
0,0,42,0,0,0,13,0,1,0,14
0,0,48,0,0,0,13,0,1,0,19
0,0,51,0,0,0,6,0,0,0,0
0,0,33,0,0,0,13,0,0,0,0
0,0,28,0,0,0,3,0,0,0,0
0,0,49,0,0,0,15,0,3,0,0
0,0,57,4,1,0,10,1,1,0,0
0,0,61,0,0,0,15,0,0,0,4
0,0,49,2,0,0,23,0,0,0,0
0,0,73,0,0,0,8,0,0,0,4
0,0,45,0,0,0,10,0,3,0,4
0,0,27,3,0,0,11,0,0,0,4
0,0,43,1,0,0,6,0,1,0,0
0,0,33,0,0,0,18,0,3,0,4
0,0,50,0,0,0,22,0,3,0,0
0,0,39,2,0,0,29,1,5,0,0
0,0,29,0,0,0,13,0,3,0,0
0,0,50,0,0,0,15,0,1,0,14
0,0,65,0,0,0,15,0,3,0,0
0,0,35,0,0,0,20,0,1,0,0
0,0,68,0,0,0,8,0,0,0,0
0,0,41,0,0,0,15,0,1,0,4
0,0,86,0,0,0,8,0,0,0,0
0,0,25,0,0,0,6,0,0,0,0
0,0,43,2,0,0,18,0,3,1,4
0,0,34,2,0,0,25,0,3,1,4
0,0,50,0,0,0,18,0,0,0,0
0,0,54,0,0,0,5,0,0,0,0
0,0,58,0,0,0,13,0,3,0,0
0,0,80,1,0,0,29,0,1,0,4
0,0,27,2,0,0,13,0,0,0,0
0,0,54,0,0,0,10,0,1,0,4
0,0,36,0,0,0,8,0,0,0,9
0,0,40,0,0,0,10,0,3,0,0
0,0,61,0,0,0,8,0,1,0,4
0,0,62,0,0,0,15,0,1,0,4
0,0,47,0,0,0,3,0,0,0,0
0,0,62,0,0,0,15,0,0,0,0
0,0,48,0,0,0,15,0,3,0,0
0,0,77,0,0,0,5,0,0,0,0
0,0,26,0,0,0,8,0,0,0,0
0,0,44,0,0,0,11,0,0,0,0
0,0,48,0,0,0,15,0,1,0,9
0,0,39,0,0,0,3,0,0,0,0
0,0,27,0,0,0,17,0,3,0,0
0,0,49,0,0,0,20,0,3,0,9
0,0,81,0,0,0,13,0,0,0,0
0,0,54,0,0,0,29,0,3,0,4
0,0,44,0,0,0,20,0,3,0,0
0,0,63,0,0,0,15,0,1,0,0
0,0,59,0,0,0,17,0,0,0,4
0,0,47,0,0,0,11,0,0,0,0
0,0,63,1,0,0,20,0,0,0,0
0,0,42,0,0,0,10,0,1,0,14
0,0,37,0,0,0,22,0,0,0,14
0,0,38,1,0,0,15,0,0,1,9
0,0,79,0,0,0,25,0,0,0,0
0,0,66,0,0,0,6,0,1,0,0
0,0,31,0,0,0,10,0,0,0,9
0,0,61,0,1,0,25,0,7,0,0
0,0,33,0,0,0,15,0,1,0,24
0,0,63,0,0,0,15,0,1,0,0
0,0,49,0,0,0,11,0,1,0,0
0,0,59,0,0,0,17,0,1,0,0
0,0,46,0,0,0,30,0,3,0,0
0,0,29,0,0,0,18,0,0,0,4
0,0,38,0,0,0,13,0,3,0,0
0,0,56,0,0,0,8,0,0,0,0
0,0,33,0,0,0,11,0,0,0,0
0,0,55,0,0,0,5,0,0,0,0
0,0,44,0,0,0,23,0,0,0,0
0,0,43,0,0,0,8,0,1,0,0
0,0,59,0,0,0,1,0,0,0,0
0,0,49,0,0,0,20,0,3,0,0
0,0,25,1,0,0,8,0,0,1,14
0,0,54,0,0,0,25,0,0,0,9
0,0,43,0,0,0,1,0,0,0,0
0,0,46,0,0,0,13,0,0,0,0
0,0,58,0,0,0,13,0,3,0,0
0,0,37,0,0,0,18,0,3,1,0
0,0,35,0,0,0,23,0,1,0,14
0,0,34,0,0,0,22,0,1,0,14
0,0,38,0,0,0,23,0,1,0,0
0,0,19,98,0,0,0,98,0,98,0
0,0,77,0,0,0,34,0,5,0,0
0,0,46,1,0,0,5,0,1,0,4
0,0,65,0,0,0,6,0,0,0,0
0,0,40,0,0,0,17,0,1,0,4
0,0,46,0,0,0,22,0,5,0,14
0,0,49,0,0,0,11,0,1,0,0
0,0,83,0,0,0,18,0,0,0,0
0,0,47,0,0,0,15,0,0,0,0
0,0,45,0,0,0,8,0,5,0,9
0,0,49,0,0,0,11,0,7,0,19
0,0,27,0,0,0,3,0,0,0,0
0,0,58,0,1,0,23,0,5,0,0
0,0,60,1,0,0,17,0,1,0,4
0,0,26,0,0,0,3,0,0,1,4
0,0,50,0,0,0,11,0,3,0,9
0,0,51,2,0,0,25,0,1,1,4
0,0,47,0,0,0,34,0,12,0,4
0,0,58,1,0,0,18,0,3,0,0
0,0,28,0,0,0,5,0,0,0,0
0,0,39,0,0,0,8,0,0,0,4
0,0,49,0,0,0,30,0,3,0,0
0,0,41,0,0,0,22,0,1,0,14
0,0,34,0,0,0,0,1,0,0,0
0,0,68,0,0,0,18,0,3,0,0
0,0,23,0,0,0,1,0,0,0,0
0,0,30,0,0,0,20,0,1,0,0
0,0,28,1,0,0,11,0,0,6,0
0,0,42,0,1,0,23,0,1,0,0
0,0,59,0,0,0,18,0,1,0,0
0,0,72,0,0,0,10,0,0,0,0
0,0,49,0,0,0,32,0,3,0,0
0,0,27,0,0,0,8,0,0,0,0
0,0,49,0,0,0,30,0,3,0,9
0,0,52,0,0,0,15,0,1,0,4
0,0,29,0,0,0,1,0,0,0,0
0,0,36,1,0,0,1,0,0,0,0
0,0,34,0,0,0,8,0,3,0,9
0,0,47,0,0,0,0,0,0,0,0
0,0,59,0,0,2,15,0,1,0,0
0,0,42,0,1,0,17,0,5,0,9
0,0,59,0,0,0,10,0,0,0,0
0,0,79,0,0,0,15,0,1,0,0
0,0,72,0,0,0,10,0,0,0,0
0,0,35,1,0,0,11,0,3,0,4
0,0,34,0,0,0,11,0,1,0,0
0,0,57,0,0,0,30,0,3,0,0
0,0,49,0,0,0,17,0,5,0,0
0,0,58,0,0,0,8,0,3,0,0
0,0,20,0,0,0,1,0,0,0,0
0,0,25,0,0,0,0,0,0,0,4
0,0,45,0,0,0,18,0,3,0,0
0,0,72,0,0,0,6,0,1,0,0
0,0,58,0,0,0,30,0,1,0,0
0,0,38,0,0,0,13,0,3,0,0
0,0,45,1,0,0,35,0,3,0,14
0,0,44,1,0,2,13,0,1,0,14
0,0,67,0,0,0,11,0,0,0,0
0,0,79,0,0,0,8,0,0,0,0
0,0,60,0,0,0,27,0,5,0,0
0,0,46,0,0,0,17,0,3,0,14
0,0,50,1,0,0,39,0,1,0,0
0,0,68,0,0,0,5,0,0,0,0
0,0,31,0,0,0,20,0,1,0,4
0,0,47,0,0,0,8,0,1,0,9
0,0,49,0,0,0,15,0,1,0,0
0,0,21,0,0,0,1,0,0,0,0
0,0,52,0,0,0,8,1,1,0,4
0,0,43,1,0,0,32,0,1,0,4
0,0,48,0,0,0,15,0,3,0,4
0,0,36,0,0,0,11,0,5,0,19
0,0,67,0,0,0,8,0,0,0,0
0,0,36,0,0,0,11,0,1,0,9
0,0,49,6,0,0,18,0,0,0,4
0,0,25,0,0,0,13,0,0,0,0
0,0,24,0,0,0,8,0,0,0,0
0,0,56,0,0,0,8,0,1,0,0
0,0,36,1,0,0,5,1,3,0,0
0,0,57,0,0,0,27,0,0,0,4
0,0,43,0,0,0,13,0,1,0,0
0,0,56,0,0,0,17,0,1,0,0
0,0,65,0,0,0,3,0,0,0,0
0,0,47,0,0,0,18,0,0,0,0
0,0,36,1,0,0,8,1,0,2,0
0,0,45,0,0,0,13,0,3,0,0
0,0,32,0,1,0,15,0,3,0,0
0,0,47,0,0,0,8,0,1,0,9
0,0,47,0,0,0,6,0,1,0,9
0,0,28,0,0,0,13,0,0,0,4
0,0,37,0,0,0,6,0,0,0,0
0,0,44,0,0,0,15,0,1,0,9
0,0,58,0,0,1,13,0,5,0,0
0,0,59,1,0,0,13,0,3,0,0
0,0,61,0,0,0,8,0,0,0,0
0,0,40,1,0,0,10,0,1,0,4
0,0,42,0,0,0,23,0,5,0,14
0,0,19,0,0,0,1,0,0,0,9
0,0,57,0,0,0,17,0,3,0,0
0,0,49,2,0,0,17,0,0,0,0
0,0,42,0,0,0,15,0,1,0,0
0,0,36,0,0,0,8,0,0,0,14
0,0,39,0,0,0,18,0,3,0,9
0,0,56,0,0,0,6,0,1,0,0
0,0,49,0,0,0,10,0,1,0,0
0,0,63,0,0,0,34,0,3,0,4
0,0,69,0,0,0,8,0,0,0,0
0,0,39,0,0,0,18,2,1,0,4
0,0,41,0,0,0,15,0,3,0,19
0,0,49,0,0,0,5,0,0,0,0
0,0,61,0,0,0,18,0,3,0,0
0,0,66,0,0,0,25,0,1,0,0
0,0,48,0,0,0,42,0,1,0,0
0,0,41,2,0,0,20,4,1,0,4
0,0,66,0,0,1,18,0,5,0,0
0,0,35,3,0,0,13,0,1,0,4
0,0,42,0,0,0,34,0,3,0,4
0,0,23,0,0,0,5,0,0,0,0
0,0,46,0,0,0,13,0,1,0,14
0,0,69,0,0,0,17,0,1,0,0
0,0,45,0,0,0,5,0,0,0,0
0,0,64,0,0,0,3,0,0,0,0
0,0,34,1,0,0,18,0,5,2,14
0,0,63,0,0,0,5,0,0,0,0
0,0,42,0,0,0,27,0,3,0,4
0,0,62,0,0,0,13,0,5,0,0
0,0,48,1,0,0,17,0,1,0,0
0,0,39,0,0,0,10,0,1,0,0
0,0,48,0,0,0,27,0,0,0,14
0,0,26,1,0,0,11,0,0,1,0
0,0,59,0,0,0,23,0,3,0,4
0,0,52,0,0,0,27,0,7,0,0
0,0,52,0,0,0,13,0,3,0,0
0,0,45,0,0,0,20,0,0,0,9
0,0,70,0,0,0,6,0,0,0,0
0,0,63,1,0,0,15,0,1,0,0
0,0,61,0,0,0,10,0,0,0,0
0,0,59,0,0,0,15,0,5,0,0
0,0,39,0,0,0,10,0,3,0,9
0,0,31,0,0,0,15,0,0,0,0
0,0,44,0,0,0,10,0,5,0,9
0,0,59,0,0,0,8,0,0,0,0
0,0,19,0,0,0,5,2,0,0,0
0,0,28,0,0,0,6,0,1,0,9
0,0,42,1,0,0,10,0,5,0,14
0,0,51,0,0,0,22,0,3,0,0
0,0,49,0,0,0,6,0,0,0,0
0,0,51,0,0,0,17,0,0,0,4
0,0,63,2,0,0,11,0,0,0,0
0,0,43,0,0,0,27,0,7,0,4
0,0,60,0,0,0,15,0,0,0,0
0,0,49,0,0,0,20,0,1,0,9
0,0,35,0,0,0,1,0,0,0,14
0,0,56,0,0,0,11,0,1,0,0
0,0,37,0,0,0,17,0,0,0,0
0,0,21,0,0,0,10,0,0,0,4
0,0,52,0,0,0,3,0,0,0,29
0,0,45,2,0,0,18,0,0,1,0
0,0,34,0,0,0,34,0,3,0,9
0,0,45,0,0,0,34,0,1,0,9
0,0,43,0,0,0,10,0,1,0,4
0,0,42,0,0,0,30,0,7,0,0
0,0,45,0,0,0,15,0,3,0,0
0,0,45,0,0,0,13,0,1,0,0
0,0,39,0,0,0,6,0,3,0,0
0,0,48,0,0,0,15,0,1,0,14
0,0,27,0,0,0,6,0,3,0,9
0,0,56,0,0,0,3,0,0,0,0
0,0,47,1,0,0,5,0,1,0,0
0,0,40,0,0,0,11,0,3,0,14
0,0,59,0,0,0,17,0,0,0,0
0,0,25,0,0,0,6,0,0,0,9
0,0,56,0,0,0,13,0,3,0,0
0,0,37,1,0,0,20,0,1,0,9
0,0,43,0,0,0,11,0,0,0,0
0,0,55,0,0,0,11,0,0,0,4
0,0,38,1,0,0,34,0,1,0,14
0,0,40,0,0,0,34,0,1,0,0
0,0,34,0,0,0,11,0,1,0,9
0,0,60,0,0,0,18,0,5,0,9
0,0,47,0,0,0,22,0,3,0,0
0,0,27,0,0,0,10,0,0,0,0
0,0,79,0,0,0,3,0,0,0,0
0,0,65,0,0,0,6,0,1,0,0
0,0,67,0,0,0,23,0,3,0,0
0,0,46,0,0,0,10,0,1,0,4
0,0,49,0,0,0,11,0,3,0,0
0,0,40,0,0,0,20,0,1,0,4
0,0,66,0,0,0,18,0,3,0,4
0,0,45,0,0,0,15,0,3,0,9
0,0,52,0,0,0,32,0,1,0,4
0,0,19,0,0,0,3,0,0,0,0
0,0,57,0,0,0,15,0,1,0,4
0,0,60,0,0,0,18,0,1,0,0
0,0,39,1,0,0,15,0,1,0,14
0,0,37,2,0,0,11,0,0,0,4
0,0,58,0,0,0,5,0,1,0,0
0,0,33,1,0,0,13,2,1,1,14
0,0,44,0,0,0,15,0,3,0,9
0,0,62,0,0,0,11,0,1,0,0
0,0,45,0,0,0,15,0,3,0,4
0,0,47,0,0,0,11,0,1,0,9
0,0,51,1,0,0,29,0,3,1,9
0,0,70,0,0,0,13,0,0,0,0
0,0,66,1,1,0,13,0,1,0,0
0,0,66,0,0,0,25,0,0,0,0
0,0,20,0,0,0,1,0,0,0,0
0,0,47,0,0,0,20,0,1,0,0
0,0,35,0,0,0,22,0,0,0,9
0,0,49,0,0,0,13,0,5,0,14
0,0,51,0,0,0,20,0,9,0,0
0,0,41,0,0,0,3,0,0,0,0
0,0,32,0,0,0,25,0,1,0,4
0,0,69,0,0,0,13,0,0,0,0
0,0,40,0,0,0,17,0,1,0,9
0,0,25,0,0,0,3,0,0,0,0
0,0,38,0,0,0,3,0,0,0,0
0,0,43,0,0,0,15,0,5,0,19
0,0,54,0,0,0,13,0,1,0,0
0,0,45,1,0,0,6,0,0,0,14
0,0,25,0,0,0,8,0,1,0,0
0,0,44,0,0,0,20,0,3,0,0
0,0,59,0,0,0,8,0,1,0,0
0,0,39,0,0,0,5,0,0,0,0
0,0,28,0,0,0,10,0,1,0,4
0,0,50,0,0,0,27,0,1,0,4
0,0,27,0,0,0,10,0,0,0,0
0,0,57,0,0,0,18,0,3,0,4
0,0,59,0,0,0,13,0,3,0,0
0,0,44,0,0,0,10,0,1,2,0
0,0,27,0,0,0,1,0,0,2,0
0,0,77,0,0,0,10,0,0,0,0
0,0,57,0,0,0,1,0,0,0,0
0,0,39,1,0,0,30,0,3,0,9
0,0,55,0,0,0,10,0,1,0,0
0,0,80,0,0,0,6,0,0,0,0
0,0,41,5,0,0,13,0,1,0,4
0,0,53,0,0,0,0,0,0,0,0
0,0,50,0,0,0,20,0,7,0,4
0,0,55,0,0,0,34,0,3,0,4
0,0,47,0,0,0,23,0,1,0,14
0,0,42,0,0,0,10,0,0,0,0
0,0,29,0,0,0,8,0,1,0,0
0,0,38,0,0,0,15,0,1,0,14
0,0,54,0,0,0,13,0,3,0,0
0,0,38,0,0,0,10,0,1,0,9
0,0,42,0,0,0,27,0,1,0,4
0,0,69,0,0,0,18,0,0,0,0
0,0,36,0,0,0,15,0,3,0,14
0,0,56,0,0,0,6,0,0,0,0
0,0,41,0,0,0,11,1,1,0,4
0,0,33,1,0,0,17,0,1,0,9
0,0,33,0,0,0,10,0,3,0,0
0,0,39,0,0,0,30,0,7,0,14
0,0,54,0,0,0,13,0,1,0,0
0,0,44,0,0,0,8,0,1,0,0
0,0,54,0,0,0,15,0,3,0,0
0,0,30,0,0,0,11,0,0,0,0
0,0,26,0,1,0,25,0,3,0,0
0,0,54,0,0,0,17,0,0,0,0
0,0,29,0,0,0,3,0,0,0,0
0,0,31,0,0,0,5,0,3,0,14
0,0,57,0,0,0,13,0,1,0,0
0,0,55,0,1,0,29,0,3,0,14
0,0,39,1,0,0,17,0,7,0,4
0,0,72,0,0,0,10,0,1,0,0
0,0,38,0,0,0,15,0,1,0,14
0,0,75,0,0,0,11,0,0,0,0
0,0,32,0,0,0,13,0,3,0,0
0,0,58,0,0,0,17,0,3,0,4
0,0,49,0,0,0,18,0,1,0,0
0,0,31,0,0,0,27,0,5,0,0
0,0,45,0,0,0,44,0,1,0,14
0,0,41,0,0,0,18,0,1,0,0
0,0,33,0,0,0,15,1,3,0,0
0,0,66,0,0,0,13,0,1,0,0
0,0,50,0,0,0,39,0,3,0,0
0,0,64,0,0,0,35,0,3,0,0
0,0,61,1,0,0,15,0,0,0,0
0,0,42,0,0,0,8,0,0,0,4
0,0,20,0,0,0,8,0,0,0,0
0,0,66,0,0,0,8,0,0,0,0
0,0,60,0,0,0,6,0,0,0,0
0,0,46,1,0,0,8,0,0,0,14
0,0,63,0,0,0,15,2,0,1,0
0,0,59,1,0,0,13,0,3,0,0
0,0,49,0,0,0,8,0,1,0,14
0,0,52,0,0,0,17,0,1,0,0
0,0,67,2,0,0,25,0,0,0,0
0,0,61,0,0,0,10,0,1,0,4
0,0,53,0,1,0,23,0,7,0,0
0,0,38,0,0,0,11,0,3,0,0
0,0,56,0,0,0,29,0,3,0,0
0,0,40,0,0,0,34,0,3,0,9
0,0,34,1,0,0,5,0,0,0,0
0,0,26,0,0,0,6,0,0,0,0
0,0,24,0,0,0,13,0,0,0,0
0,0,39,0,0,0,13,0,1,0,14
0,0,54,0,0,0,17,0,1,0,4
0,0,42,0,0,0,22,0,1,0,9
0,0,40,0,0,0,10,0,7,0,14
0,0,59,0,0,0,20,0,3,0,0
0,0,32,0,1,0,22,0,1,0,0
0,0,49,0,0,0,27,0,1,0,4
0,0,61,0,0,0,8,0,0,0,4
0,0,79,0,0,0,3,0,0,0,0
0,0,39,0,0,0,25,0,1,0,0
0,0,23,0,0,0,13,0,0,0,0
0,0,69,0,0,0,5,0,0,0,0
0,0,61,1,0,0,11,0,1,0,0
0,0,42,0,0,0,6,0,0,0,9
0,0,61,0,0,0,1,0,0,0,0
0,0,64,0,0,0,13,0,3,1,4
0,0,44,0,0,0,17,0,1,0,9
0,0,62,1,0,0,22,0,1,0,0
0,0,29,0,0,0,10,0,1,0,0
0,0,51,0,0,0,6,0,3,0,0
0,0,22,0,0,0,5,0,0,0,0
0,0,56,0,0,0,37,0,1,0,0
0,0,63,0,0,0,15,0,3,0,0
0,0,39,5,0,0,3,3,0,1,0
0,0,41,0,0,0,25,0,14,0,9
0,0,23,0,0,0,10,0,0,0,0
0,0,25,0,0,0,6,0,0,0,0
0,0,53,0,0,0,18,0,0,0,0
0,0,42,0,0,0,5,0,0,0,0
0,0,41,0,0,0,17,0,0,0,0
0,0,55,0,0,0,13,0,0,0,9
0,0,49,0,1,0,25,0,1,0,0
0,0,26,1,0,0,3,0,0,0,0
0,0,32,1,0,0,6,0,0,1,14
0,0,68,0,0,0,17,0,1,0,0
0,3,33,1,0,0,15,0,3,0,4
0,0,46,2,0,0,10,0,0,0,4
0,0,53,0,0,0,11,0,0,0,0
0,0,25,0,0,0,10,0,0,0,4
0,0,33,0,0,0,17,0,5,0,14
0,0,44,0,0,0,15,0,3,0,4
0,0,24,0,0,0,1,0,0,0,0
0,0,50,0,0,0,6,0,3,0,0
0,0,49,0,0,0,8,0,0,0,4
0,0,41,0,0,0,8,0,0,0,9
0,0,63,0,0,0,3,0,0,0,0
0,0,29,1,0,0,17,0,0,0,0
0,0,81,0,0,0,5,0,0,0,0
0,0,61,0,0,0,5,0,1,0,0
0,0,66,0,0,0,17,0,7,0,0
0,0,31,0,0,0,8,0,1,0,0
0,0,68,0,0,0,10,0,1,0,0
0,0,38,0,0,0,3,0,1,0,0
0,0,65,0,0,0,40,0,5,0,0
0,0,55,0,0,0,10,0,3,0,0
0,0,32,0,0,0,11,0,0,0,0
0,0,26,0,0,0,3,0,0,0,0
0,0,63,0,0,0,0,0,0,0,0
0,0,52,0,0,0,22,0,5,0,0
0,0,42,0,0,0,27,0,1,0,0
0,0,55,0,0,0,13,0,3,0,4
0,0,60,0,0,0,15,0,1,0,4
0,0,59,0,0,0,13,0,1,0,0
0,0,52,0,0,0,10,0,1,0,9
0,0,35,0,0,0,20,0,1,0,9
0,0,42,0,0,0,18,0,3,0,0
0,0,62,0,0,0,10,0,0,0,0
0,0,56,0,0,0,11,0,1,0,0
0,0,58,0,0,0,10,0,3,0,0
0,0,48,3,0,0,10,0,1,2,0
0,0,79,0,0,0,3,0,0,0,0
0,0,38,0,0,0,3,0,1,0,9
0,0,59,0,0,0,17,0,1,0,0
0,0,46,0,0,0,10,0,1,1,4
0,0,67,0,0,0,1,0,0,0,0
0,0,42,0,0,0,15,0,1,0,14
0,0,82,0,0,0,8,0,0,1,0
0,0,73,0,0,0,37,0,0,0,0
0,0,50,0,0,0,22,0,3,0,4
0,0,42,0,0,0,17,0,3,0,9
0,0,54,0,0,0,15,0,1,0,0
0,0,36,0,0,0,10,0,1,0,9
0,0,39,0,0,0,25,0,1,0,14
0,0,58,0,0,0,13,0,1,0,0
0,0,39,0,0,0,17,0,1,0,9
0,0,59,0,0,0,13,0,0,0,4
0,0,31,0,0,0,8,0,0,0,0
0,0,45,0,0,0,20,0,1,0,14
0,0,24,0,0,0,1,0,0,1,0
0,0,54,0,0,0,13,0,1,0,9
0,0,43,0,0,0,10,0,3,0,4
0,0,38,0,0,0,59,0,1,0,9
0,0,39,2,0,0,6,1,0,0,4
0,0,39,0,0,0,6,0,1,0,9
0,0,52,0,0,0,18,0,3,0,0
0,0,37,0,0,0,0,0,0,0,0
0,0,50,0,0,0,44,0,3,0,14
0,0,29,0,0,0,5,1,0,0,0
0,0,58,1,0,0,22,1,3,0,0
0,0,29,0,0,0,13,0,0,0,0
0,0,36,0,0,0,6,0,0,0,9
0,0,54,0,0,1,13,0,3,0,19
0,0,43,0,0,0,13,0,1,0,0
0,0,74,1,0,0,8,0,1,0,4
0,0,70,2,0,0,15,0,0,1,0
0,0,29,0,0,0,20,0,3,0,9
0,0,58,0,3,0,32,0,9,0,0
0,0,60,0,0,0,15,0,0,0,4
0,0,32,0,0,0,8,0,0,0,0
0,0,51,0,0,0,18,0,3,0,0
0,0,39,0,0,0,18,0,3,0,9
0,0,49,0,0,0,11,0,3,0,0
0,0,33,2,0,0,8,0,1,1,4
0,0,66,0,0,0,17,0,0,0,4
0,0,55,0,0,0,6,0,1,0,0
0,0,55,0,0,0,17,0,3,0,0
0,0,39,0,0,0,15,0,1,0,0
0,0,54,0,0,0,23,1,1,0,0
0,0,52,0,0,0,10,0,5,0,0
0,0,57,0,0,0,37,0,3,0,0
0,0,49,0,0,0,13,0,0,0,0
0,0,34,0,0,0,11,0,0,0,4
0,0,64,0,0,0,5,0,0,1,0
0,0,46,1,0,0,32,0,1,0,4
0,0,42,0,0,0,20,0,1,0,0
0,0,52,0,0,0,13,0,1,0,0
0,0,51,0,0,0,5,0,0,0,14
0,0,53,0,0,0,18,0,3,0,4
0,0,49,1,0,0,5,0,0,0,0
0,0,26,0,1,0,20,0,1,0,0
0,0,60,0,0,0,18,0,0,0,0
0,0,50,0,0,0,17,0,3,0,0
0,0,82,0,0,0,1,0,0,0,0
0,0,32,0,0,0,11,0,0,0,0
0,0,49,0,0,0,27,0,0,0,0
0,0,53,0,0,0,8,0,1,0,0
0,0,61,0,0,0,17,0,1,0,0
0,0,65,0,0,0,5,0,0,0,0
0,0,65,0,0,0,11,0,0,0,0
0,0,40,0,0,0,3,0,0,0,0
0,0,43,0,0,0,5,0,0,0,4
0,0,36,2,0,0,18,0,3,0,9
0,0,45,0,0,0,32,0,3,0,0
0,0,44,0,0,0,8,0,3,0,9
0,0,42,0,0,0,22,0,3,0,14
0,0,74,0,0,0,11,0,1,0,0
0,0,50,0,0,0,8,0,5,0,0
0,0,55,0,0,0,6,0,0,0,0
0,0,30,1,0,0,23,0,1,0,0
0,0,72,0,0,0,8,0,0,0,0
0,0,38,0,0,0,13,0,3,0,9
0,0,38,0,0,0,17,0,0,0,0
0,0,62,0,0,0,17,0,1,0,0
0,0,67,1,0,0,18,0,1,0,0
0,0,55,0,0,0,15,0,0,0,0
0,0,62,2,0,0,13,0,1,1,0
0,0,50,0,1,0,6,0,3,0,0
0,0,50,0,0,0,29,0,3,0,0
0,0,42,0,1,0,11,0,5,0,14
0,0,54,0,0,0,3,0,1,0,0
0,0,46,0,0,0,27,0,3,0,9
0,0,61,0,0,0,6,0,0,0,0
0,0,46,0,0,0,13,0,0,0,0
0,0,52,0,0,0,10,0,3,0,0
0,0,56,0,0,0,6,0,1,0,0
0,0,40,0,0,0,10,0,1,0,0
0,0,37,0,0,0,15,1,0,0,0
0,0,64,0,0,0,23,0,1,0,0
0,0,40,0,0,0,13,0,0,0,9
0,0,39,0,0,0,22,0,3,0,9
0,0,28,0,0,0,8,0,1,0,0
0,0,53,0,0,0,10,0,1,0,0
0,0,38,0,0,0,11,0,3,0,9
0,0,39,0,0,0,15,0,0,0,0
0,0,58,0,0,0,39,0,1,0,0
0,0,29,0,0,0,6,0,1,0,4
0,0,40,0,0,0,10,0,1,0,9
0,0,37,0,0,0,20,0,5,0,4
0,0,38,0,0,0,8,0,0,0,9
0,0,31,0,0,0,5,0,1,0,0
0,0,39,0,0,0,8,0,0,0,9
0,0,49,0,0,0,15,0,3,0,0
0,0,35,0,0,0,13,0,3,0,4
0,0,36,0,0,0,0,0,0,0,0
0,0,50,0,0,0,15,0,3,0,0
0,0,71,0,0,0,20,0,0,0,0
0,0,52,0,0,0,18,0,3,0,0
0,0,76,0,0,0,3,0,0,0,0
0,0,42,0,0,0,8,0,0,0,4
0,0,37,1,0,0,6,0,1,0,0
0,0,48,0,0,0,30,0,3,0,4
0,0,39,1,0,0,10,0,3,0,0
0,0,39,0,0,0,6,0,0,0,4
0,0,43,1,0,0,22,0,1,0,9
0,0,41,0,0,0,5,0,0,0,14
0,0,49,0,4,0,34,0,20,0,0
0,0,22,0,0,0,5,0,0,0,0
0,0,32,0,0,0,8,0,0,0,0
0,0,57,0,0,0,13,0,5,0,0
0,0,24,0,0,0,0,0,0,0,0
0,0,61,0,0,0,6,0,1,0,0
0,0,69,0,0,0,6,0,0,0,0
0,0,49,0,0,0,20,0,1,0,0
0,0,62,0,0,0,10,0,0,0,0
0,0,35,0,0,0,11,0,3,0,4
0,0,49,0,1,0,13,0,3,0,0
0,0,41,0,0,0,8,0,0,0,4
0,0,26,0,0,0,13,0,0,0,0
0,0,50,0,0,0,18,0,3,0,0
0,0,35,1,0,1,25,0,3,0,19
0,0,30,0,0,0,15,0,0,0,4
0,0,42,2,0,0,40,0,1,0,0
0,0,80,0,0,0,6,0,0,0,0
0,0,38,0,0,0,10,0,0,0,9
0,0,52,0,0,0,5,0,1,0,0
0,0,32,3,0,0,27,0,0,0,4
0,0,53,0,0,0,11,0,1,0,0
0,0,57,0,0,0,11,0,1,0,0
0,0,42,0,0,0,8,0,0,0,19
0,0,62,0,0,0,10,0,1,0,0
0,0,69,0,0,0,10,0,1,0,4
0,0,28,2,0,0,5,0,0,0,0
0,0,49,0,0,0,15,0,1,0,4
0,0,33,0,0,0,10,0,1,0,14
0,0,45,0,0,0,11,0,0,0,9
0,0,20,0,0,0,5,0,0,0,4
0,0,24,0,0,0,8,0,0,0,0
0,0,79,0,0,0,18,0,1,0,0
0,0,68,0,0,0,17,0,1,0,4
0,0,59,1,0,0,30,0,1,0,0
0,0,30,5,0,0,10,0,0,1,0
0,0,27,0,0,0,13,0,0,0,0
